year,indic,nace,partner,value_eur_mn
2010,EMP,B-S_X_O,AD,0
2010,EMP,B-S_X_O,AE,14645
2010,EMP,B-S_X_O,AF,0
2010,EMP,B-S_X_O,AFR,134442
2010,EMP,B-S_X_O,AG,0
2010,EMP,B-S_X_O,AI,0
2010,EMP,B-S_X_O,AL,1237
2010,EMP,B-S_X_O,AM,830
2010,EMP,B-S_X_O,AME,1067848
2010,EMP,B-S_X_O,AN,30
2010,EMP,B-S_X_O,AO,632
2010,EMP,B-S_X_O,AQ,0
2010,EMP,B-S_X_O,AR,28584
2010,EMP,B-S_X_O,AS,0
2010,EMP,B-S_X_O,ASI,775321
2010,EMP,B-S_X_O,AT,185672
2010,EMP,B-S_X_O,AU,95661
2010,EMP,B-S_X_O,AW,
2010,EMP,B-S_X_O,AZ,
2010,EMP,B-S_X_O,BA,2667
2010,EMP,B-S_X_O,BB,
2010,EMP,B-S_X_O,BD,3375
2010,EMP,B-S_X_O,BE,59522
2010,EMP,B-S_X_O,BF,
2010,EMP,B-S_X_O,BG,27502
2010,EMP,B-S_X_O,BH,1212
2010,EMP,B-S_X_O,BI,0
2010,EMP,B-S_X_O,BJ,
2010,EMP,B-S_X_O,BM,61
2010,EMP,B-S_X_O,BN,
2010,EMP,B-S_X_O,BO,1538
2010,EMP,B-S_X_O,BR,208584
2010,EMP,B-S_X_O,BS,7
2010,EMP,B-S_X_O,BT,
2010,EMP,B-S_X_O,BV,0
2010,EMP,B-S_X_O,BW,
2010,EMP,B-S_X_O,BY,2796
2010,EMP,B-S_X_O,BZ,0
2010,EMP,B-S_X_O,CA,53345
2010,EMP,B-S_X_O,CC,0
2010,EMP,B-S_X_O,CD,
2010,EMP,B-S_X_O,CF,
2010,EMP,B-S_X_O,CG,
2010,EMP,B-S_X_O,CH,101838
2010,EMP,B-S_X_O,CI,
2010,EMP,B-S_X_O,CK,0
2010,EMP,B-S_X_O,CL,12112
2010,EMP,B-S_X_O,CM,
2010,EMP,B-S_X_O,CN_X_HK,306865
2010,EMP,B-S_X_O,CO,10620
2010,EMP,B-S_X_O,CR,2389
2010,EMP,B-S_X_O,CU,0
2010,EMP,B-S_X_O,CV,0
2010,EMP,B-S_X_O,CX,0
2010,EMP,B-S_X_O,CY,645
2010,EMP,B-S_X_O,CZ,208838
2010,EMP,B-S_X_O,DE,0
2010,EMP,B-S_X_O,DJ,0
2010,EMP,B-S_X_O,DK,29050
2010,EMP,B-S_X_O,DM,
2010,EMP,B-S_X_O,DO,528
2010,EMP,B-S_X_O,DZ,2899
2010,EMP,B-S_X_O,EC,2624
2010,EMP,B-S_X_O,EE,2055
2010,EMP,B-S_X_O,EG,15088
2010,EMP,B-S_X_O,EL,18528
2010,EMP,B-S_X_O,ER,
2010,EMP,B-S_X_O,ES,166069
2010,EMP,B-S_X_O,ET,
2010,EMP,B-S_X_O,EU27_2007,2225222
2010,EMP,B-S_X_O,EUR,2606496
2010,EMP,B-S_X_O,EXT_EU27_2007,2458693
2010,EMP,B-S_X_O,EXT_EU_NAL,0
2010,EMP,B-S_X_O,FI,18131
2010,EMP,B-S_X_O,FJ,
2010,EMP,B-S_X_O,FK,0
2010,EMP,B-S_X_O,FM,0
2010,EMP,B-S_X_O,FO,0
2010,EMP,B-S_X_O,FR,269445
2010,EMP,B-S_X_O,GA,0
2010,EMP,B-S_X_O,GD,0
2010,EMP,B-S_X_O,GE,1940
2010,EMP,B-S_X_O,GG,103
2010,EMP,B-S_X_O,GH,1000
2010,EMP,B-S_X_O,GI,
2010,EMP,B-S_X_O,GL,0
2010,EMP,B-S_X_O,GM,0
2010,EMP,B-S_X_O,GN,0
2010,EMP,B-S_X_O,GQ,0
2010,EMP,B-S_X_O,GS,0
2010,EMP,B-S_X_O,GT,1950
2010,EMP,B-S_X_O,GU,0
2010,EMP,B-S_X_O,GW,0
2010,EMP,B-S_X_O,GY,
2010,EMP,B-S_X_O,HK,28853
2010,EMP,B-S_X_O,HM,0
2010,EMP,B-S_X_O,HN,1409
2010,EMP,B-S_X_O,HR,23664
2010,EMP,B-S_X_O,HT,0
2010,EMP,B-S_X_O,HU,121671
2010,EMP,B-S_X_O,ID,27524
2010,EMP,B-S_X_O,IE,17330
2010,EMP,B-S_X_O,IL,4150
2010,EMP,B-S_X_O,IM,217
2010,EMP,B-S_X_O,IN,143968
2010,EMP,B-S_X_O,IO,0
2010,EMP,B-S_X_O,IQ,0
2010,EMP,B-S_X_O,IR,2160
2010,EMP,B-S_X_O,IS,
2010,EMP,B-S_X_O,IT,144273
2010,EMP,B-S_X_O,JE,226
2010,EMP,B-S_X_O,JM,
2010,EMP,B-S_X_O,JO,267
2010,EMP,B-S_X_O,JP,56483
2010,EMP,B-S_X_O,KE,1602
2010,EMP,B-S_X_O,KG,
2010,EMP,B-S_X_O,KH,
2010,EMP,B-S_X_O,KI,0
2010,EMP,B-S_X_O,KM,0
2010,EMP,B-S_X_O,KN,0
2010,EMP,B-S_X_O,KP,0
2010,EMP,B-S_X_O,KR,25199
2010,EMP,B-S_X_O,KW,0
2010,EMP,B-S_X_O,KY,359
