year,indic,nace,partner,value
2021,EMP_NR,B-S_X_O,AR,35115
2021,EMP_NR,B-S_X_O,AT,205331
2021,EMP_NR,B-S_X_O,AU,61324
2021,EMP_NR,B-S_X_O,BE,71806
2021,EMP_NR,B-S_X_O,BG,42623
2021,EMP_NR,B-S_X_O,BR,204623
2021,EMP_NR,B-S_X_O,CA,54670
2021,EMP_NR,B-S_X_O,CH,111190
2021,EMP_NR,B-S_X_O,CL,21280
2021,EMP_NR,B-S_X_O,CN_X_HK,511127
2021,EMP_NR,B-S_X_O,CY,2632
2021,EMP_NR,B-S_X_O,CZ,276544
2021,EMP_NR,B-S_X_O,DK,37199
2021,EMP_NR,B-S_X_O,EE,4872
2021,EMP_NR,B-S_X_O,EG,24552
2021,EMP_NR,B-S_X_O,EL,16971
2021,EMP_NR,B-S_X_O,ES,226994
2021,EMP_NR,B-S_X_O,EXT_EU27_2020,3661113
2021,EMP_NR,B-S_X_O,EXT_EU_NAL,0
2021,EMP_NR,B-S_X_O,FI,22012
2021,EMP_NR,B-S_X_O,FR,268638
2021,EMP_NR,B-S_X_O,HK,21387
2021,EMP_NR,B-S_X_O,HR,25071
2021,EMP_NR,B-S_X_O,HU,177086
2021,EMP_NR,B-S_X_O,ID,25672
2021,EMP_NR,B-S_X_O,IE,23391
2021,EMP_NR,B-S_X_O,IL,8034
2021,EMP_NR,B-S_X_O,IN,289593
2021,EMP_NR,B-S_X_O,INT_EU27_2020,2529528
2021,EMP_NR,B-S_X_O,IS,496
2021,EMP_NR,B-S_X_O,IT,187921
2021,EMP_NR,B-S_X_O,JP,64421
2021,EMP_NR,B-S_X_O,KR,32056
2021,EMP_NR,B-S_X_O,LI,2765
2021,EMP_NR,B-S_X_O,LT,16124
2021,EMP_NR,B-S_X_O,LU,14022
2021,EMP_NR,B-S_X_O,LV,4484
2021,EMP_NR,B-S_X_O,MA,25301
2021,EMP_NR,B-S_X_O,MT,2709
2021,EMP_NR,B-S_X_O,MX,251423
2021,EMP_NR,B-S_X_O,MY,65356
2021,EMP_NR,B-S_X_O,NG,7062
2021,EMP_NR,B-S_X_O,NL,127063
2021,EMP_NR,B-S_X_O,NO,22693
2021,EMP_NR,B-S_X_O,NZ,9677
2021,EMP_NR,B-S_X_O,OFFSHO,94820
2021,EMP_NR,B-S_X_O,PH,27237
2021,EMP_NR,B-S_X_O,PL,338234
2021,EMP_NR,B-S_X_O,PT,57304
2021,EMP_NR,B-S_X_O,RO,174341
2021,EMP_NR,B-S_X_O,RU,121838
2021,EMP_NR,B-S_X_O,SE,75125
2021,EMP_NR,B-S_X_O,SG,36567
2021,EMP_NR,B-S_X_O,SI,20925
2021,EMP_NR,B-S_X_O,SK,110106
2021,EMP_NR,B-S_X_O,TH,27839
2021,EMP_NR,B-S_X_O,TR,107680
2021,EMP_NR,B-S_X_O,TW,16042
2021,EMP_NR,B-S_X_O,UK,326916
2021,EMP_NR,B-S_X_O,US,748796
2021,EMP_NR,B-S_X_O,UY,5218
2021,EMP_NR,B-S_X_O,VE,656
2021,EMP_NR,B-S_X_O,WRL_REST,6190641
2021,EMP_NR,B-S_X_O,ZA,53164
2021,ENT_NR,B-S_X_O,AR,133
2021,ENT_NR,B-S_X_O,AT,1327
2021,ENT_NR,B-S_X_O,AU,472
2021,ENT_NR,B-S_X_O,BE,559
2021,ENT_NR,B-S_X_O,BG,125
2021,ENT_NR,B-S_X_O,BR,505
2021,ENT_NR,B-S_X_O,CA,429
2021,ENT_NR,B-S_X_O,CH,1010
2021,ENT_NR,B-S_X_O,CL,142
2021,ENT_NR,B-S_X_O,CN_X_HK,1850
2021,ENT_NR,B-S_X_O,CY,44
2021,ENT_NR,B-S_X_O,CZ,793
2021,ENT_NR,B-S_X_O,DK,354
2021,ENT_NR,B-S_X_O,EE,42
2021,ENT_NR,B-S_X_O,EG,63
2021,ENT_NR,B-S_X_O,EL,105
2021,ENT_NR,B-S_X_O,ES,1167
2021,ENT_NR,B-S_X_O,EXT_EU27_2020,17611
2021,ENT_NR,B-S_X_O,EXT_EU_NAL,0
2021,ENT_NR,B-S_X_O,FI,248
2021,ENT_NR,B-S_X_O,FR,1845
2021,ENT_NR,B-S_X_O,HK,355
2021,ENT_NR,B-S_X_O,HR,125
2021,ENT_NR,B-S_X_O,HU,602
2021,ENT_NR,B-S_X_O,ID,115
2021,ENT_NR,B-S_X_O,IE,205
2021,ENT_NR,B-S_X_O,IL,72
2021,ENT_NR,B-S_X_O,IN,539
2021,ENT_NR,B-S_X_O,INT_EU27_2020,14257
2021,ENT_NR,B-S_X_O,IS,9
2021,ENT_NR,B-S_X_O,IT,1144
2021,ENT_NR,B-S_X_O,JP,341
2021,ENT_NR,B-S_X_O,KR,244
2021,ENT_NR,B-S_X_O,LI,8
2021,ENT_NR,B-S_X_O,LT,79
2021,ENT_NR,B-S_X_O,LU,715
2021,ENT_NR,B-S_X_O,LV,53
2021,ENT_NR,B-S_X_O,MA,70
2021,ENT_NR,B-S_X_O,MT,62
2021,ENT_NR,B-S_X_O,MX,472
