year,gdp_nominal_eur_bn,yoy_pct
1991,1596.9,
1992,1708.3,6.98
1993,1755.5,2.76
1994,1837.3,4.66
1995,1900.5,3.44
1996,1929.7,1.54
1997,1969.9,2.08
1998,2020.7,2.58
1999,2072.8,2.58
2000,2129.9,2.75
2001,2198.5,3.22
2002,2227.0,1.3
2003,2244.3,0.77
2004,2286.0,1.86
2005,2322.5,1.6
2006,2427.0,4.5
2007,2545.6,4.89
2008,2586.0,1.59
2009,2492.0,-3.63
2010,2609.8,4.73
2011,2743.1,5.11
2012,2800.6,2.09
2013,2871.2,2.52
2014,2989.1,4.11
2015,3084.4,3.19
2016,3190.0,3.42
2017,3337.3,4.62
2018,3438.8,3.04
2019,3543.5,3.04
2020,3443.8,-2.81
2021,3673.2,6.66
2022,3982.8,8.43
2023,4220.8,5.98
2024,4331.4,2.62
2025,4477.5,3.37
