statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
73311;Turnover tax statistics (advance returns);JAHR;Year;2004;DINSG;Germany;DG;Germany;4347506204;EUR 1000;STR042;Taxable turnover: supplies and services;e
73311;Turnover tax statistics (advance returns);JAHR;Year;2004;DINSG;Germany;DG;Germany;4683532351;EUR 1000;STR041;Taxable turnover;e
73311;Turnover tax statistics (advance returns);JAHR;Year;2004;DINSG;Germany;DG;Germany;-;EUR 1000;STR052;Taxable turnover: intra-Community acquisitions;
73311;Turnover tax statistics (advance returns);JAHR;Year;2004;DINSG;Germany;DG;Germany;465110534;EUR 1000;STR059;Deductible input tax;e
73311;Turnover tax statistics (advance returns);JAHR;Year;2004;DINSG;Germany;DG;Germany;572266232;EUR 1000;STR055;Turnover tax prior to deduction of input tax;e
73311;Turnover tax statistics (advance returns);JAHR;Year;2004;DINSG;Germany;DG;Germany;508510210;EUR 1000;STR056;Turnover tax on supplies and services;e
73311;Turnover tax statistics (advance returns);JAHR;Year;2004;DINSG;Germany;DG;Germany;107402211;EUR 1000;STR060;Turnover tax advance payments;e
73311;Turnover tax statistics (advance returns);JAHR;Year;2004;DINSG;Germany;DG;Germany;2957173;number;STR040;Turnover taxpayers;e
73311;Turnover tax statistics (advance returns);JAHR;Year;2016;DINSG;Germany;DG;Germany;6088287141;EUR 1000;STR042;Taxable turnover: supplies and services;e
73311;Turnover tax statistics (advance returns);JAHR;Year;2016;DINSG;Germany;DG;Germany;6666766862;EUR 1000;STR041;Taxable turnover;e
73311;Turnover tax statistics (advance returns);JAHR;Year;2016;DINSG;Germany;DG;Germany;-;EUR 1000;STR052;Taxable turnover: intra-Community acquisitions;
73311;Turnover tax statistics (advance returns);JAHR;Year;2016;DINSG;Germany;DG;Germany;818874474;EUR 1000;STR059;Deductible input tax;e
