statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
73321;Turnover tax statistics (assessments);JAHR;Year;2016;DINSG;Germany;DG;Germany;166779052;EUR 1000;STR061;Remaining turnover tax / surplus;e
73321;Turnover tax statistics (assessments);JAHR;Year;2016;DINSG;Germany;DG;Germany;4441402187;EUR 1000;STR043;Taxable supplies and services;e
73321;Turnover tax statistics (assessments);JAHR;Year;2016;DINSG;Germany;DG;Germany;652524515;EUR 1000;STR048;Tax-ex. s. and s., input tax ded. intra-Com. sup.;e
73321;Turnover tax statistics (assessments);JAHR;Year;2016;DINSG;Germany;DG;Germany;766447390;EUR 1000;STR056;Turnover tax on supplies and services;e
73321;Turnover tax statistics (assessments);JAHR;Year;2016;DINSG;Germany;DG;Germany;103666139;EUR 1000;STR057;Turnover tax on intra-Community acquisitions;e
73321;Turnover tax statistics (assessments);JAHR;Year;2016;DINSG;Germany;DG;Germany;1247156264;EUR 1000;STR047;Tax-exempt s. and s. with input tax deduction;e
73321;Turnover tax statistics (assessments);JAHR;Year;2016;DINSG;Germany;DG;Germany;6550960;number;STR040;Turnover taxpayers;e
73321;Turnover tax statistics (assessments);JAHR;Year;2016;DINSG;Germany;DG;Germany;3801050993;EUR 1000;STR044;Taxable supplies and services, full tax rate;e
73321;Turnover tax statistics (assessments);JAHR;Year;2016;DINSG;Germany;DG;Germany;56637126;EUR 1000;STR054;Intra-Community acquisitions, reduced tax rate;e
73321;Turnover tax statistics (assessments);JAHR;Year;2016;DINSG;Germany;DG;Germany;587020685;EUR 1000;STR052;Taxable turnover: intra-Community acquisitions;e
73321;Turnover tax statistics (assessments);JAHR;Year;2016;DINSG;Germany;DG;Germany;6308466131;EUR 1000;STR042;Taxable turnover: supplies and services;e
73321;Turnover tax statistics (assessments);JAHR;Year;2016;DINSG;Germany;DG;Germany;6899101583;EUR 1000;STR041;Taxable turnover;e
73321;Turnover tax statistics (assessments);JAHR;Year;2016;DINSG;Germany;DG;Germany;630842864;EUR 1000;STR045;Taxable supplies and services, reduced tax rate;e
73321;Turnover tax statistics (assessments);JAHR;Year;2016;DINSG;Germany;DG;Germany;346642240;EUR 1000;STR050;Tax-exempt s. and s. without input tax deduction;e
73321;Turnover tax statistics (assessments);JAHR;Year;2016;DINSG;Germany;DG;Germany;594631749;EUR 1000;STR049;Other tax-ex. s. and s. with input tax deduction;e
73321;Turnover tax statistics (assessments);JAHR;Year;2016;DINSG;Germany;DG;Germany;1593798504;EUR 1000;STR046;Tax-exempt supplies and services;e
73321;Turnover tax statistics (assessments);JAHR;Year;2016;DINSG;Germany;DG;Germany;829504971;EUR 1000;STR059;Deductible input tax;e
73321;Turnover tax statistics (assessments);JAHR;Year;2016;DINSG;Germany;DG;Germany;124163845;EUR 1000;STR058;Tax on turnov., S. 13b of UStG, rep. by the cust.;e
73321;Turnover tax statistics (assessments);JAHR;Year;2016;DINSG;Germany;DG;Germany;265101621;EUR 1000;STR051;Tax. turnover, S. 13b of UStG, rep. by the supp.;e
73321;Turnover tax statistics (assessments);JAHR;Year;2016;DINSG;Germany;DG;Germany;996284764;EUR 1000;STR055;Turnover tax prior to deduction of input tax;e
73321;Turnover tax statistics (assessments);JAHR;Year;2016;DINSG;Germany;DG;Germany;524733450;EUR 1000;STR053;Intra-Community acquisitions, full tax rate;e
73321;Turnover tax statistics (assessments);JAHR;Year;2015;DINSG;Germany;DG;Germany;158907788;EUR 1000;STR061;Remaining turnover tax / surplus;e
73321;Turnover tax statistics (assessments);JAHR;Year;2015;DINSG;Germany;DG;Germany;4356908291;EUR 1000;STR043;Taxable supplies and services;e
73321;Turnover tax statistics (assessments);JAHR;Year;2015;DINSG;Germany;DG;Germany;637273812;EUR 1000;STR048;Tax-ex. s. and s., input tax ded. intra-Com. sup.;e
73321;Turnover tax statistics (assessments);JAHR;Year;2015;DINSG;Germany;DG;Germany;752151333;EUR 1000;STR056;Turnover tax on supplies and services;e
73321;Turnover tax statistics (assessments);JAHR;Year;2015;DINSG;Germany;DG;Germany;101199156;EUR 1000;STR057;Turnover tax on intra-Community acquisitions;e
73321;Turnover tax statistics (assessments);JAHR;Year;2015;DINSG;Germany;DG;Germany;1237996689;EUR 1000;STR047;Tax-exempt s. and s. with input tax deduction;e
73321;Turnover tax statistics (assessments);JAHR;Year;2015;DINSG;Germany;DG;Germany;6535948;number;STR040;Turnover taxpayers;e
73321;Turnover tax statistics (assessments);JAHR;Year;2015;DINSG;Germany;DG;Germany;3730559407;EUR 1000;STR044;Taxable supplies and services, full tax rate;e
73321;Turnover tax statistics (assessments);JAHR;Year;2015;DINSG;Germany;DG;Germany;54459131;EUR 1000;STR054;Intra-Community acquisitions, reduced tax rate;e
