year,turnover_LuL_eur_bn,turnover_LuL_adj_eur_bn,turnover_total_eur_bn,gdp_nominal_eur_bn,ratio,ratio_adj,turnover_yoy_pct,turnover_adj_yoy_pct,gdp_yoy_pct,gap_adj_pp,taxpayers
2006,5017.7,5017.7,5441.4,2427.0,2.0675,2.0675,,,,,5581605
2007,5245.1,5245.1,5693.6,2545.6,2.0605,2.0605,4.53,4.53,4.89,-0.35,5675255
2008,5546.3,5546.3,6026.7,2586.0,2.1447,2.1447,5.74,5.74,1.59,4.15,5746821
2009,5061.0,5061.0,5456.4,2492.0,2.0309,2.0309,-8.75,-8.75,-3.63,-5.11,5866232
2010,5410.9,5410.9,5876.7,2609.8,2.0733,2.0733,6.91,6.91,4.73,2.19,6018031
2011,5843.0,5843.0,6364.5,2743.1,2.1301,2.1301,7.98,7.98,5.11,2.88,6193775
2012,5926.2,5926.2,6458.8,2800.6,2.116,2.116,1.42,1.42,2.1,-0.67,6339242
2013,5969.3,5969.3,6500.3,2871.2,2.079,2.079,0.73,0.73,2.52,-1.79,6435280
2014,6060.5,6060.5,6611.2,2989.1,2.0275,2.0275,1.53,1.53,4.11,-2.58,6446620
2015,6208.2,6208.2,6784.2,3084.4,2.0128,2.0128,2.44,2.44,3.19,-0.75,6535948
2016,6308.5,6308.5,6899.1,3190.0,1.9776,1.9776,1.61,1.61,3.42,-1.81,6550960
2017,6581.8,6581.8,7221.2,3337.3,1.9722,1.9722,4.33,4.33,4.62,-0.29,6664535
2018,6859.3,6859.3,7536.3,3438.8,1.9947,1.9947,4.22,4.22,3.04,1.18,6831036
2019,7014.4,7014.4,7704.0,3543.5,1.9795,1.9795,2.26,2.26,3.04,-0.78,6972252
2020,6775.9,6775.9,7429.6,3443.8,1.9676,1.9676,-3.4,-3.4,-2.81,-0.59,7055390
2021,8118.9,7405.6,8853.1,3673.2,2.2103,2.0161,19.82,9.29,6.66,2.63,7215445
